Simbolo,Valore
A,"complessi, unita'"
B,trasduttori di una grandezza non elettrica in una elettrica o viceversa
C,condensatori
D,"operazioni binarie, dispositivi di temporizzazione, dispositivi di memorizzazione"
E,materiali diversi
F,dispositivi di protezione
G,"generatori, alimentatori"
H,dispositivi di segnalazione
K,"bobine per rele' e contattori, blocchi di potenza per contattori"
L,induttanze
M,motori
N,circuiti integrati analogici
P,"strumenti di misura, dispositivi di prova"
Q,apparecchi di manovra per circuiti di potenza
R,resistori
S,apparecchi di comando e di controllo
T,trasformatori
U,modulatori convertitori
V,tubi elettronici semiconduttori
W,"vie di trasmissione guide d'onda, antenne"
X,"morsetti, prese, spine"
Y,apparecchi meccanici azionati meccanicamente
Z,"trasformatori adattatori di impedenza, equalizzatori, limitatori di banda"
AD,Amplificatori a transistor
AJ,Amplificatori a circuiti integrati
AM,Amplificatori magnetici
AP,Circuiti stampati (Schede)
AR,Racks
AS,Avviatori motori
BB,Apparecchi telefonici
BC,Interruttori crepuscolari
BF,Cellule fotoelettriche
BI,Misuratori d'induttanza
BL,Trasduttori di livello
BM,Microfoni
BP,Trasduttori di pressione
BQ,Trasduttori di posizione
BR,Trasduttori di rotazione (Tachimetriche)
BS,Altoparlanti
BT,Trasduttori di temperatura
BU,Sensori di ultrasuoni
BV,Trasduttori di velocita'
BW,Trasduttori di potenza indiretta
BY,Trasduttori per cosfimetri
EC,Condizionatori
EE,Elettrodomestici in generale
EH,Dispositivi di riscaldamento (Scaldiglie)
EL,Lampade di illuminazione (apparecchi di illuminazione)
EV,Ventilatori
FA,Protezioni magnetiche
FF,Rele' di frequenza
FR,Protezioni termiche
FS,Protezioni sovratensioni
FU,Fusibili
FV,Rele' tensione
GB,Batteria di accumulatori
GC,Commutatrici
GD,Generatori corrente continua
GF,Convertitori di frequenza
GS,Generatori corrente alternata
HA,Segnalazioni acustiche
HC,Led
HL,Segnalazioni luminose
HS,Sistemi di allarme
KA,Rele' ausiliari
KD,Rele' differenziali
KF,Rele' d'intensita'
KL,Rele' bistabili - monostabili
KM,"Contattori, rele'"
KP,Rele' polarizzati
KR,Rele' reed
KS,Rele' - rele' passo passo
KT,Rele' temporizzatori
KV,Rele' statici
MD,Motori in corrente continua
MS,Motori in corrente alternata
PA,Amperometri
PC,Contaimpulsi
PF,Frequenzimetri
PG,Termometri
PJ,Contatori di energia (Wattmetri)
PM,Strumento multifunzione
PN,Tachimetri
PO,Cosfimetri - frequenzimetri
PS,Resistori
PT,"Contaore, orologi"
PV,Voltmetri
PY,Cosfimetro
QD,Int. differenziali - blocchi differenziali
QF,Interruttori automatici
QG,Rele' preferenziali
QM,Interruttori di potenza (protezione motore)
QO,Interruttori orari
QR,Interruttori crepuscolari
QS,Sezionatori
QU,Sezionatori con fusibili
RD,Dimmer
RM,Resistori di avviamento
RP,Potenziometri
RR,Resistori
RS,Shunt (derivatori)
RV,Reostati
SA,Selettori
SB,Pulsanti
SC,Commutatori
SE,Finecorsa statici
SF,Finecorsa
SH,Pulsanti luminosi
SL,Livellostati
SP,Predispositori
SQ,Finecorsa di prossimita'
SR,Finecorsa rotativi
SS,Interruttori e deviatori per uso civile
SV,Commutatori voltmetrici
TA,Trasformatori amperometrici
TC,Trasformatori circuiti di comando
TM,Trasformatori di potenza
TR,Trasformatori - trasformatori di sicurezza
TS,Stabilizzatori magnetici
TV,Trasformatori voltmetrici
UA,Convertitori di Ccrrente
UD,Convertitori digitali/analogici
UF,Convertitori di frequenza
UJ,Convertitori di potenza
UN,Convetitori analogici/digitali
UV,Convertitori di tensione
VC,Raddrizzatori circuiti di comando
VD,Diodi
VN,Transistori
VT,Tiristori
VZ,Zener
WA,Antenne
WB,Sbarre distributrici
WC,Cavi
XC,Connettori
XJ,Spinotti di prova
XP,Spine
XS,Prese
XT,Morsetti
YA,Apparecchi elettromagnetici
YB,Freni elettromagnetici
YC,Frizioni elettromagnetiche
YV,Elettrovalvole
